513436200003186558	P6	1
513436200003187059	P8	0
513436200003187059	P11	5
513436200003187059	P8	4
513436200003187059	P3	2
513436200003188211	P10	7
513436200003189150	P4	7
513436200003189150	P2	6
513436200003189150	P4	6
513436200003189273	P4	1
51343620000318945X	P10	0
51343620000318945X	P5	0
513436200003188393	P4	1
513436200003189492	P8	3
513436200003188297	P8	1
513436200003188297	P5	0
513436200003188676	P10	0
513436200003188676	P3	4
513436200003189353	P8	3
513436200003189353	P5	7
513436200003186996	P9	7
513436200003186996	P5	3
513436200003186996	P6	1
513436200003188916	P9	7
230103199507126541	P7	7
230103199507126541	P6	7
230103199507126541	P5	2
230103199507129080	P5	1
230103199507128803	P3	4
230103199507128803	P4	0
230103199507128803	P4	2
230103199507129347	P9	0
230103199507126568	P7	3
230103199507126568	P3	3
230103199507129726	P7	3
230103199507129726	P4	4
230103199507128483	P8	2
230103199507128483	P8	3
230103199507128483	P9	0
230103199507128483	P1	5
230103199507129785	P11	0
230103199507129785	P5	6
230103199507129785	P1	2
230103199507129785	P11	2
23010319950712882X	P2	4
23010319950712882X	P8	2
23010319950712882X	P1	7
230103199507127560	P3	6
230103199507127560	P8	6
230103199507127560	P5	6
230103199507129427	P2	4
230103199507129427	P1	1
230103199507128360	P2	6
230103199507128360	P4	0
230103199507128360	P5	0
230103199507128360	P3	3
230103199507128205	P1	0
230103199507128205	P10	5
230103199507128205	P4	6
35020519950712754X	P3	0
350205199507127507	P1	3
350205199507127507	P10	1
350205199507129844	P5	7
350205199507129844	P1	4
350205199507129844	P7	3
350205199507127769	P8	5
350205199507129043	P8	5
350205199507129043	P2	3
350205199507129043	P5	4
350205199507129043	P4	0
350205199507128729	P2	6
350205199507127582	P11	6
350205199507127582	P5	3
350205199507127582	P9	6
350205199507128921	P11	5
350205199507128366	P9	7
350205199507128366	P10	7
350205199507129908	P3	2
350205199507129908	P7	4
350205199507126387	P3	0
350205199507128104	P9	3
350205199507127101	P5	4
350205199507127101	P11	0
350205199507127101	P3	2
350205199507127101	P8	2
42050519910712845X	P11	2
420505199107129292	P9	3
420505199107129292	P8	6
420505199107129292	P5	2
420505199107127078	P2	6
420505199107127334	P3	7
420505199107127414	P3	5
420505199107127414	P8	6
420505199107129532	P1	5
420505199107129532	P8	4
420505199107126550	P9	0
420505199107126550	P1	1
420505199107127393	P8	6
420505199107127393	P5	3
420505199107127393	P8	3
420505199107128097	P6	5
420505199107128097	P11	2
420505199107128097	P9	2
420505199107128097	P2	2
420505199107128353	P8	3
420505199107128353	P6	1
420505199107128353	P10	1
420505199107128513	P9	4
420505199107128513	P2	5
420505199107128513	P11	6
420505199107128513	P9	6
420505199107127772	P1	5
420505199107127772	P7	6
310105199107127898	P10	0
310105199107126377	P8	1
310105199107126377	P7	2
310105199107126377	P9	4
310105199107128372	P1	7
310105199107128372	P8	5
310105199107128372	P8	7
310105199107127732	P4	2
310105199107127599	P9	4
310105199107127599	P1	1
310105199107127599	P7	6
310105199107126756	P6	5
310105199107126756	P3	3
310105199107126756	P9	4
310105199107126756	P9	2
310105199107129279	P2	7
310105199107129279	P6	0
310105199107129279	P7	7
310105199107129279	P11	0
310105199107126510	P9	3
310105199107126510	P9	1
310105199107126510	P1	7
310105199107129914	P10	2
310105199107126537	P6	1
310105199107129439	P3	4
310105199107129439	P4	0
310105199107129439	P6	4
310105199107126131	P2	5
310105199107126131	P2	2
310105199107126115	P4	6
310105199107126115	P8	1
310105199107126115	P3	2
450302198712186632	P6	6
450302198712186632	P8	3
450302198712186632	P10	2
450302198712188734	P1	4
450302198712187870	P10	4
450302198712187870	P11	6
450302198712188013	P11	7
450302198712188013	P4	0
450302198712188195	P10	0
450302198712187539	P1	7
450302198712187539	P11	7
450302198712187539	P10	2
450302198712187539	P11	3
45030219871218889X	P8	0
45030219871218889X	P10	3
450302198712187539	P10	5
450302198712186712	P4	4
450302198712186712	P9	4
450302198712186712	P10	1
450302198712189673	P4	4
450302198712189032	P5	0
450302198712189032	P9	4
450302198712189032	P6	6
450302198712189032	P2	1
450302198712188873	P2	5
450302198712188873	P5	2
450302198712188558	P2	4
450302198712188558	P6	6
450302198712188558	P3	6
450302198712188558	P6	4
410303198712188530	P10	6
410303198712188530	P2	6
410303198712188530	P9	0
410303198712188530	P1	7
410303198712188477	P9	5
410303198712188477	P8	6
410303198712188477	P1	2
410303198712188477	P5	3
410303198712187917	P8	6
410303198712187917	P4	6
410303198712187415	P3	6
410303198712187415	P9	4
410303198712187415	P1	0
410303198712187650	P11	6
410303198712187650	P2	5
410303198712187650	P10	7
410303198712187650	P9	1
410303198712189672	P8	2
410303198712189672	P9	1
410303198712189672	P6	6
410303198712189672	P6	7
410303198712189170	P4	5
410303198712189170	P9	2
410303198712189170	P1	4
410303198712189170	P9	5
410303198712188899	P11	3
410303198712188899	P5	1
410303198712188899	P9	7
410303198712188274	P4	5
410303198712188274	P3	7
410303198712187634	P5	1
410303198712187634	P2	0
410303198712187634	P4	6
41030319871218605X	P7	0
41030319871218779X	P6	3
410303198712186359	P7	0
410303198712186359	P3	0
