彭龙全	513436200003186558	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	7836	230103199507129080	7
倪山	513436200003187059	大民兴街9号	1686	42050519910712845X	4
周世华	513436200003188211	哈尔滨市道里区抚利街与抚顺街交会处	1529	350205199507128104	9
王仪叶	513436200003189150	哈尔滨市道里区抚利街与抚顺街交会处	2370	310105199107127599	1
于凝刚	513436200003189273	哈尔滨市道里区顾新路295号	5948	310105199107129279	4
太叔玛	51343620000318945X	顾新路396号	10922	51343620000318945X	1
长孙韦	513436200003188393	顾新路396号	1474	450302198712187539	4
裘世	513436200003189492	黑龙江省哈尔滨市道里区安阳路1号	9311	45030219871218889X	2
封明	513436200003188297	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	9526	450302198712186712	2
何强辉	513436200003188676	哈尔滨市南岗区学府三道街27号	10826	23010319950712882X	1
阙亚	513436200003189353	哈尔滨市道里区抚利街与抚顺街交会处	8729	350205199507129844	5
霍紫瑾	513436200003186996	哈尔滨市道里区河松街219号	7422	410303198712187634	5
宗勤	513436200003188916	黑龙江省哈尔滨市道里区安阳路1号	4317	310105199107126756	1
关琴	230103199507126541	哈尔滨市道里区顾新路295号	5084	350205199507129844	7
齐娟	230103199507129080	红领巾街02-2号	6960	45030219871218889X	9
马豪	230103199507128803	红领巾街02-2号	5589	513436200003188297	1
丁江毓	230103199507129347	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	5065	23010319950712882X	5
柏蝶平	230103199507126568	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	2960	450302198712187539	1
溥羽娴	230103199507129726	哈尔滨市南岗区松花江街139号	5161	310105199107126131	2
桑桂	230103199507128483	红领巾街02-2号	1790	513436200003188393	3
裘启竹	230103199507129785	哈尔滨市道里区顾新路295号	6977	450302198712188195	5
姜策春	23010319950712882X	大民兴街9号	5594	350205199507128104	8
石程	230103199507127560	哈尔滨市南岗区学府三道街27号	7281	350205199507128921	7
习贝	230103199507129427	哈尔滨市南岗区松花江街139号	6792	420505199107129292	3
裴纯晶	230103199507128360	黑龙江省哈尔滨市道里区安阳路1号	1290	410303198712187917	7
